[?1034h+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+----------------+---------------------+-------------------+
| i_item_desc                                                                                                                                                                                              | i_category | i_class        | i_current_price     | itemrevenue       |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+----------------+---------------------+-------------------+
|                                                                                                                                                                                                          | Books      |                | 82.97000122070312   | 7491.89990234375  |
| No longer soft cameras mean select, small policies. Also famous arms could want irish, different connections. Attacks should remove black r                                                              | Books      | arts           | 1.519999980926514   | 15468.90000915527 |
| National, upper principles fill relatives. Components make. Rarely unusual plants might not deal                                                                                                         | Books      | arts           | 7.269999980926514   | 1477.160034179688 |
| Badly difficult intervals should not get today new followers. Standards examine. Young, actual departments might knock special, national assumptions. Successful wi                                      | Books      | arts           | 0.2899999916553497  | 11743.46989440918 |
| Regulations go almost. Complex operations may stay at present countries. Widely special modules can rest also in ne                                                                                      | Books      | arts           | 76.12000274658203   | 7160.280212402344 |
| New, expected possibilities will not determine with a areas. Great friends fall probably other elections; internal, professional conservatives respond. Early planes establish in                        | Books      | arts           | 7.03000020980835    | 4806.870002746582 |
| Badly outside representatives should tax original decisions. Signs trust well front, literary laws. Social sizes can involve for example to a effects. Lists might appear small purposes. Conv           | Books      | arts           | 1.480000019073486   | 4952.300018310547 |
| Little days answer in a emotions; players touch.                                                                                                                                                         | Books      | arts           | 2.579999923706055   | 2643.180053710938 |
| Minor heads close common children; recently strong firms provide. Useful, young men ought to create changes. Popular, common regulations might decide. Points fit. Obvious, glad officials               | Books      | arts           | 3.880000114440918   | 640.1099877357483 |
| Victorian miles would reform as well relationships. However tired institutions will send. Dramatically likely rats catch in a teams. Years may spend nearly mass, high                                   | Books      | arts           | 2.319999933242798   | 10582.52011871338 |
| Taxes should emerge maximum studies. Literary forms dig pos                                                                                                                                              | Books      | arts           | 2.180000066757202   | 2333.200012207031 |
| Free feet experience too powerful coins. Mild details                                                                                                                                                    | Books      | arts           | 1.159999966621399   | 3897.140022277832 |
| Glad users understand very almost original jobs. Towns can understand. Supreme, following days work by a parents; german, crucial weapons work sure; fair pictur                                         | Books      | arts           | 7.179999828338623   | 3976.699951171875 |
| Significant, preliminary boys can remain lightly more pale discussion                                                                                                                                    | Books      | arts           | 2.740000009536743   | 2827.160034179688 |
| Especially true items might supply particularly. Black, automatic words might develop post-war problems. Fresh, visible workers could not appe                                                           | Books      | arts           | 4.230000019073486   | 7148.679904937744 |
| Communications grab as. Never new minutes release unfair occ                                                                                                                                             | Books      | arts           | 1.090000033378601   | 174.3500061035156 |
